month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag,id,zip_code
202201,92618,"irvine, ca",4109,1772,-606,5647,74.641195,95.07757951900699,54.204809930178435,16,-0.19999999999999996,-4,-0.6666666666666667,-32,-45,0.2720848056537102,2.159183673469388,1.1166,1300975,-0.06666547098070164,0.13128260869565223,3.4693,1,1,92618
202201,92620,"irvine, ca",1262,1177,-879,2803,79.059348,89.39487975174553,68.72381691233514,30,0.05263157894736836,1.5,-0.16666666666666663,-6,-31,0.051183987311912205,0.810042347247429,1.45,1475000,0.06884057971014501,0.17249602543720188,3.9333,0,2,92620
202112,92618,"irvine, ca",4109,1166,93,7128,78.240454,95.30452929355387,61.17637965682485,20,-0.14893617021276595,-3.5,-0.6190476190476191,-32.5,-33.5,-0.10512215197315455,2.8565314603170777,1.2792,1393900,0.056735370765221615,0.21208695652173915,3.7171,1,1,92618
202111,92602,"irvine, ca",4786,3534,1342,6541,61.266337,70.89801080832471,51.63466329385612,38.5,-0.19791666666666663,-9.5,-0.49673202614379086,-38,-8,-0.1488928975664967,1.6591508918820534,1.1203,2300000,0.00877192982456143,0.47313608254686024,6.0614,1,5,92602
202111,92612,"irvine, ca",2307,2849,312,5521,65.066498,70.06630638917635,60.066689663102224,39,0.11428571428571432,4,-0.19587628865979378,-9.5,-7.5,0.05456237235300443,2.5570748800892575,1.2897,987500,0.012820512820512775,0.3715277777777777,2.6025,1,3,92612
202111,92618,"irvine, ca",4109,1259,2246,7801,76.049212,90.5752941627381,61.52313058142654,23.5,-0.265625,-8.5,-0.5346534653465347,-27,-23,0.23217940031409223,4.291544067745275,1.3192,1319062.5,0.11032196969696972,0.1564373423015082,3.4762,0,1,92618
202110,92612,"irvine, ca",2307,3161,609,5933,61.781696,71.6907045231443,51.872687457524734,35,0.12903225806451624,4,-0.2857142857142857,-14,-8,0.1600567602548899,2.8617889207614646,1.1551,975000,-0.019114688128772594,0.3356164383561644,2.5658,1,3,92612
202110,92620,"irvine, ca",1262,985,2291,6418,76.370535,87.20833647964963,65.53273427471117,24,-0.2727272727272727,-9,-0.3513513513513513,-13,-19,0.24675829331567045,2.756783103168156,1.4386,1200000,-0.04912836767036455,0.010101010101010166,3.1579,0,2,92620
202110,92618,"irvine, ca",4109,3505,1152,4707,60.020388,76.4630370761912,43.577739182964585,32,-0.01538461538461533,-0.5,-0.1351351351351351,-5,-11,0.11737655798081525,3.9857810673938445,1.0113,1188000,0.019742489270386354,0.043020193151887653,3.1263,0,1,92618
202110,92603,"irvine, ca",5600,7702,-1622,946,40.226912,27.739182964585062,52.71464169750056,69,0.40816326530612246,20,0.32692307692307687,17,26,-0.0262582229449142,1.5604294042371678,1.1696,3499000,0.11985917746839503,0.7076622742801366,9.2079,1,6,92603
