month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag,id,zip_code
202201,92103,"san diego, ca",778,4516,1556,607,57.837471,59.01861908456168,56.65632273079907,58,-0.008547008547008517,-0.5,0.5263157894736843,20,-3,0.6370001648261086,0.8354417145844222,1.1669,1299000,-0.05489468514678597,-0.03420074349442381,3.464,1,3,92103
202201,92115,"san diego, ca",360,521,943,826,84.875873,90.72924747866563,79.02249806051202,28,0.07692307692307687,2,-0.03448275862068961,-1,-33,1.1083269725124802,0.28453691349788746,1.7917,799000,0.005663939584644506,0.333889816360601,2.1307,1,14,92115
202006,92104,"san diego, ca",356,1108,-34,972,80.659042,89.03956486103867,72.27851873928918,28.5,-0.22972972972972971,-8.5,-0.18571428571428572,-6.5,-40,0.07686733455316208,1.5278772066011155,1.5977,787450,0.2133281972265022,0.0641216216216216,2.2995,0,4,92104
202007,92104,"san diego, ca",356,949,159,579,82.174205,93.5046502072984,70.84376050498636,21,-0.26315789473684215,-7.5,-0.4,-14,-36.5,0.08117342421369855,1.3480372717448552,1.5643,779500,-0.010095879103435124,0.23838271506871078,2.2335,0,4,92104
202008,92104,"san diego, ca",356,1867,-918,-127,73.661846,93.860891605785,53.46280005963918,17,-0.19047619047619047,-4,-0.5277777777777778,-19,-36,-0.21021588930290025,0.967142661796019,1.1487,625000,-0.19820397690827452,-0.03782713877281718,1.7857,0,4,92104
202009,92104,"san diego, ca",356,2191,-324,-821,72.003774,92.52075471698113,51.48679245283019,18.5,0.08823529411764697,1.5,-0.48611111111111116,-17.5,-32.5,-0.0570991432068545,0.7532734506943413,1.1133,597000,-0.04479999999999995,-0.08012326656394453,1.7057,0,4,92104
202010,92104,"san diego, ca",356,1711,480,-569,74.5868,94.40909604307068,54.764504348480855,16,-0.1351351351351351,-2.5,-0.4482758620689655,-13,-35,0.011145131659522356,0.8877269567505093,1.174,595000,-0.00335008375209378,-0.08320493066255774,1.7,0,4,92104
202011,92104,"san diego, ca",356,2613,-902,-1761,68.787682,93.1656872471953,44.40967717316645,22.5,0.40625,6.5,-0.3571428571428571,-12.5,-34,-0.1897419119034145,0.3738072699734949,0.9973,609450,0.024285714285714244,0.017445742904841355,1.745,0,4,92104
202012,92104,"san diego, ca",356,1427,1186,-652,77.788008,93.03717343767983,62.538842214293936,27.5,0.22222222222222232,5,-0.3125,-12.5,-36.5,0.4161236366770058,0.8243723866676138,1.319,599950,-0.01558782508819423,-0.01234669520125109,1.7593,0,4,92104
202101,92104,"san diego, ca",356,1271,156,-430,79.080147,88.61773044211172,69.54256378821546,35,0.2727272727272727,7.5,-0.23913043478260865,-11,-36,0.7487374725112346,1.100026804156221,1.501,650000,0.08342361863488623,-0.06340057636887608,1.9123,0,4,92104
202102,92104,"san diego, ca",356,1501,-230,-889,77.952033,89.99257841490567,65.91148783250654,22,-0.37142857142857144,-13,0.04761904761904767,1,-41.5,0.08808844507845937,1.0162569389373513,1.38,634450,-0.023923076923076936,-0.06561119293078055,1.8244,0,4,92104
202103,92104,"san diego, ca",356,2634,-1133,-1938,69.728064,84.07787444890953,55.378252896882685,23.5,0.06818181818181812,1.5,0.17500000000000004,3.5,-24.5,-0.1118688183237897,1.0019156225568646,1.1488,682000,0.07494680431870115,-0.038691944464021466,1.9122,0,4,92104
