month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag,id,zip_code
202201,94105,"san francisco, ca",7926,10912,-243,-359,17.517455,32.59503491078355,2.439875872769589,88,0.22222222222222232,16,-0.03296703296703296,-3,27,0.296366266359847,-0.12018069943141996,0.2219,1890000,0.057046979865771785,0.23934426229508188,5.04,0,4,94105
202201,94121,"san francisco, ca",855,642,2411,2436,83.628782,95.39953452288596,71.85802948021723,15,-0.696969696969697,-34.5,-0.765625,-49,-46,0.5483241925655089,-0.02751083474656102,1.5392,1690000,-0.14968553459119494,-0.1528822055137845,4.5067,1,16,94121
202201,94124,"san francisco, ca",4053,8318,29,-1841,37.595035,49.11171450737005,26.07835531419705,67,0.17543859649122817,10,-0.1728395061728395,-14,6,0.5264884243239019,-0.38697509291618126,0.6643,760000,0.020134228187919545,-0.1546162402669633,2.0267,1,19,94124
202001,94109,"san francisco, ca",14,2218,-567,47,73.904716,62.883070514727756,84.9263612020232,80,0.17647058823529416,12,-0.1061452513966481,-9.5,-5,0.49715903685208995,0.16895395593126716,2.084,1899500,0.085773537192388,1.0100529100529099,6.3338,1,7,94109
202002,94109,"san francisco, ca",14,883,1335,-323,84.684851,91.72804322883896,77.64165957289315,28,-0.65,-52,-0.1384615384615384,-4.5,-51,-0.11491803220303376,0.28467262282459105,1.7539,1695000,-0.10765991050276391,0.6337349397590362,5.4695,1,7,94109
202003,94109,"san francisco, ca",14,1260,-377,319,81.830525,87.57951121526615,76.08153851876651,30,0.0714285714285714,2,-0.34782608695652173,-16,-28.5,-0.12554588591343885,0.16281643763239795,1.7254,1619500,-0.04454277286135688,0.4646640826873385,5.0609,1,7,94109
202004,94109,"san francisco, ca",14,1024,236,1645,82.679714,76.54080754406317,88.81862066384762,45,0.5,15,-0.1089108910891089,-5.5,-17,0.5622208876158796,0.9012390970106283,2.4147,1397500,-0.13707934547699907,0.17932489451476785,4.3533,0,7,94109
202005,94109,"san francisco, ca",14,2116,-1092,1725,72.484306,77.3113925931429,67.65721927120092,50,0.11111111111111116,5,-0.11504424778761058,-6.5,-21,-0.2677000418935901,0.5788835098967899,1.4367,1295000,-0.07334525939177106,0.03600000000000003,3.9242,0,7,94109
202006,94109,"san francisco, ca",14,4248,-2132,-3369,59.274644,87.47485284256017,31.074435586021902,31,-0.38,-19,-0.13888888888888884,-5,-37.5,-0.42235594194202075,-0.20758898364095624,0.769,1343500,0.037451737451737355,0.3448448448448449,3.9232,1,7,94109
202007,94109,"san francisco, ca",14,6805,-2557,-5157,45.642999,73.74967317820193,17.536323908415195,41,0.32258064516129026,10,-0.03529411764705881,-1.5,-16.5,-0.1913050711373362,-0.25942434126783687,0.5631,1347000,0.002605135839225836,0.07975951903807621,3.8596,0,7,94109
202008,94109,"san francisco, ca",14,6239,566,-4552,48.046817,78.06396302370658,18.02967049351424,35,-0.14634146341463417,-6,-0.30000000000000004,-15,-18,0.07132765536609598,-0.301443527420304,0.561,1299000,-0.03563474387527843,-0.061125451729478586,3.7114,0,7,94109
202009,94109,"san francisco, ca",14,7831,-1592,-7443,40.186792,69.17358490566038,11.200000000000001,40,0.1428571428571428,5,1.1621621621621623,21.5,-11,-0.23210723951464673,-0.4405842093636865,0.4428,1196500,-0.07890685142417242,-0.19966555183946488,3.4186,1,7,94109
202010,94109,"san francisco, ca",14,8714,-883,-6669,34.597718,61.014269041075266,8.181167877715447,45,0.125,5,0.47540983606557385,14.5,-6,-0.16316239479762418,-0.24320037006644368,0.3864,1195000,-0.001253656498119482,-0.2006688963210702,3.4143,1,7,94109
202011,94109,"san francisco, ca",14,9548,-834,-6972,28.773945,48.988781195146146,8.559108601083722,60.5,0.34444444444444455,15.5,0.44047619047619047,18.5,4,0.0034791786263734803,-0.2092254004070846,0.4065,1195000,0,-0.27531837477258947,3.4216,1,7,94109
202012,94109,"san francisco, ca",14,9847,-299,-8196,26.702344,38.23992020562397,15.164767713967853,81.5,0.3471074380165289,21,0.19852941176470584,13.5,17.5,0.3572688101145558,-0.4193649536614704,0.5153,1157500,-0.03138075313807531,-0.33836121647792095,3.3943,1,7,94109
202101,94109,"san francisco, ca",14,8672,1175,-6454,35.188874,43.942992874109265,26.434755957397897,83,0.018404907975460016,1.5,0.03750000000000009,3,12,1.0287725862023618,-0.21319216221895365,0.6803,1149000,-0.007343412526997883,-0.3951039747301922,3.3804,1,7,94109
202102,94109,"san francisco, ca",14,6227,2445,-5344,50.095699,84.03968594976759,16.151712823717823,29.5,-0.6445783132530121,-53.5,0.0535714285714286,1.5,-34,-0.1515743533247622,-0.24577838791574813,0.4877,1124499.5,-0.021323324630113105,-0.33657846607669617,3.2336,1,7,94109
202103,94109,"san francisco, ca",14,8452,-2225,-7192,36.855761,65.24911240294955,8.46240880184152,40,0.35593220338983045,10.5,0.33333333333333326,10,-8,-0.23450309402831382,-0.33975459527620155,0.3499,1094000,-0.027122733269334454,-0.32448286508181534,3.0674,1,7,94109
202104,94109,"san francisco, ca",14,9196,-744,-8172,30.98353,53.790445041467116,8.176614881439084,41,0.02499999999999991,1,-0.0888888888888889,-4,1,0.010910679193069539,-0.5727562370888288,0.3545,1045000,-0.04478976234003651,-0.2522361359570662,2.8081,1,7,94109
