month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldp_unique_viewers_per_property_mm,ldp_unique_viewers_per_property_yy,ldp_unique_viewers_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag,id,zip_code
202201,94591,"vallejo, ca",691,3217,-235,-3002,65.430566,85.48875096974399,45.372381691233514,35,-0.05405405405405406,-2,0.5909090909090908,13,-26,0.3208249458771695,-0.5846153846153846,0.9631,630000,-0.014855355746677068,0.34042553191489366,1.68,1,94,94591
202201,94619,"oakland, ca",4588,4431,710,-2852,58.291311,75.07757951900699,41.505042668735456,44,-0.03296703296703296,-1.5,-0.06382978723404253,-3,-17,0.4646391406318695,-0.4639233972875806,0.8983,799900,0.008065532451165813,0.001126408010012625,2.1331,0,65,94619
202201,94611,"oakland, ca",894,1612,1312,-213,75.83204,85.48875096974399,66.17532971295577,35,-0.23076923076923073,-10.5,0,0,-26,0.5116582983699014,-0.045250560957367236,1.3833,1339000,-0.01544117647058818,0.2228310502283104,3.5707,0,61,94611
202201,94590,"vallejo, ca",2012,2913,1672,-1946,67.302172,77.7734678044996,56.830876648564775,42,-0.09677419354838712,-4.5,2.230769230769231,29,-19,0.6905481517958818,-0.17508785630613044,1.1701,490000,-0.07284768211920534,-0.018036072144288595,1.3067,1,93,94590
202201,94401,"san mateo, ca",2464,6076,-153,1338,49.730411,69.35608999224205,30.104732350659425,49,0.0652173913043479,3,-0.2222222222222222,-14,-12,0.3430071315372425,0.13268408941485865,0.7221,849000,-0.08161013538948814,-0.1913900661936283,2.264,1,70,94401
202201,94301,"palo alto, ca",5849,7653,2058,1512,41.415826,46.92785104732351,35.90380139643134,70,-0.13580246913580252,-11,-0.27835051546391754,-27,9,0.7089973605960376,0.10000000000000009,0.8084,6000000,0.28220361222401635,0.26315789473684204,16,0,82,94301
202201,94539,"fremont, ca",1236,3530,1811,2338,63.458107,95.39953452288596,31.5166795965865,15,-0.589041095890411,-21.5,-0.6428571428571428,-27,-46,0.6392215568862274,0.3340377921432123,0.7429,1420000,-0.14979478321263817,0.10162916989914672,3.7867,1,76,94539
202201,94606,"oakland, ca",1717,4112,3960,781,60.056245,87.2187742435997,32.893716058960436,33,-0.4107142857142857,-23,-0.5,-33,-28,0.6741559387903813,-0.33017492711370267,0.7635,695000,0.019061583577712593,-0.005722460658083017,1.8533,0,57,94606
202201,94595,"walnut creek, ca",4345,1518,915,5394,76.431342,88.52211016291699,64.34057408844065,31,-0.16216216216216217,-6,-0.5303030303030303,-35,-30,0.6452312464204588,0.7251981827453529,1.3339,559000,0.03231763619575245,0.0647619047619048,1.4907,0,40,94595
202201,94610,"oakland, ca",1626,6695,159,-2455,46.55353,69.35608999224205,23.75096974398759,49,0.13953488372093026,6,-0.07547169811320753,-4,-12,0.5784209870388834,-0.38235735735735743,0.6295,630000,-0.023255813953488413,-0.13580246913580252,1.68,1,60,94610
202201,94801,"richmond, ca",4554,4924,1508,-3278,55.543057,69.35608999224205,41.73002327385571,49,-0.07547169811320753,-4,0.8148148148148149,22,-12,0.5161613327954755,-0.2865676461091379,0.9017,580000,0.09433962264150941,0.17886178861788626,1.5467,1,67,94801
202201,94536,"fremont, ca",142,2142,1293,713,71.859969,90.72924747866563,52.99069045771916,28,-0.31707317073170727,-13,-0.1515151515151515,-5,-33,0.4853223813664027,0.10301780286582729,1.0943,839000,-0.16097902447561185,-0.16016016016016021,2.2373,1,74,94536
202201,94804,"richmond, ca",1901,4621,1962,-1576,57.218774,90.72924747866563,23.70830100853375,28,-0.4042553191489362,-19,0,0,-33,0.2851258581235696,-0.3121019108280255,0.6281,589000,0.07198107198107206,0.03514938488576447,1.5707,0,68,94804
202201,94621,"oakland, ca",4713,4096,1739,931,60.141583,87.2187742435997,33.06439100077579,33,-0.2978723404255319,-14,-0.37735849056603776,-20,-28,0.3646863161785088,-0.1264040898617511,0.7669,499000,-0.07933579335793361,0.10888888888888881,1.3307,0,66,94621
202201,94558,"napa, ca",148,6549,-405,621,47.315749,40.86501163692785,53.76648564778898,77,0.203125,13,0.013157894736842035,1,16,0.42365016063191896,0.27796126108877406,1.1091,1499000,-0.0006000400026668906,0.33244444444444454,3.9973,1,89,94558
202201,94603,"oakland, ca",4769,7341,592,-4323,43.091544,50.244375484871995,35.938712179984485,66,0.1785714285714286,10,0.6097560975609757,25,5,0.7147218274646034,-0.22791580400276046,0.8097,610888,0.029297388374052158,0.16361835463532648,1.629,1,55,94603
202201,94605,"oakland, ca",1418,4053,2114,-1883,60.409232,83.39410395655547,37.42435996896819,37,-0.1777777777777778,-8,-0.02631578947368418,-1,-24,0.6634478429142938,-0.3228298484183848,0.8319,689000,-0.014306151645207432,-0.014306151645207432,1.8373,0,56,94605
202201,94607,"oakland, ca",3432,7574,791,-588,41.8173,73.7199379363848,9.914662529092318,45,-0.032258064516129004,-1.5,0.022727272727272707,1,-16,0.6070334673825946,0.07645101344051164,0.4127,685000,0.05384615384615388,0.055469953775038494,1.8267,0,58,94607
202201,94544,"hayward, ca",242,1648,1911,-454,75.576028,92.35065942591156,58.80139643134213,24,-0.4418604651162791,-19,-0.4545454545454546,-20,-37,0.6030459760432638,-0.32524925895984913,1.2135,795000,0.01662404092071612,0.186744290192566,2.12,0,79,94544
202201,94541,"hayward, ca",334,3372,-1141,-2373,64.445306,65.61675717610551,63.27385570209465,52,0.48571428571428577,17,0.368421052631579,14,-9,0.6231636935991605,-0.24390926911229338,1.3085,750000,-0.005231157751769411,0.07296137339055786,2,1,77,94541
